#Y134-10
#Leaf 2

6 # number of measuremnts 

0 # time  

11 # number of data points 

    1.0000   15.7627    8.7130
    2.0000   14.5345    7.4357
    3.0000   14.6819    8.6884
    4.0000   14.5837   10.1377
    5.0000   13.1835   10.1131
    6.0000   13.6257    8.8112
    7.0000   13.0362    7.4602
    8.0000   12.2010    8.1234
    9.0000   12.7414    8.7621
   10.0000   12.0782    9.7201
   11.0000   11.5869    8.8849

2 # time 

31 # number of data points 

    1.0000   24.5131   11.4422
    2.0000   23.1050    9.3981
    3.0000   22.6961   11.4422
    4.0000   22.9233   13.4863
    5.0000   19.6527   14.1223
    6.0000   20.6520   11.5331
    7.0000   19.9252    9.0801
    8.0000   16.7001    9.6252
    9.0000   17.7903   11.6239
   10.0000   16.2913   13.8043
   11.0000   14.6106   11.8510
   12.0000   21.6514   10.2157
   13.0000   22.1510   12.0782
   14.0000   20.8792   14.0768
   15.0000   21.3788   12.7141
   16.0000   20.2886   10.2612
   17.0000   20.2432   13.0321
   18.0000   18.0628   14.2131
   19.0000   18.6988   13.1229
   20.0000   19.3347   11.5785
   21.0000   18.8351    9.8524
   22.0000   18.0628    9.1256
   23.0000   17.1998   10.6246
   24.0000   17.1543   12.8049
   25.0000   15.2011   13.1683
   26.0000   15.6553   12.8504
   27.0000   15.8825   11.8510
   28.0000   15.5191   10.7154
   29.0000   15.4736   10.0341
   30.0000   14.5651   10.9425
   31.0000   14.3834   12.5324

4 # time 

37 # number of data points 

    1.0000   41.7253   21.5352
    2.0000   41.1173   18.4952
    3.0000   39.7662   20.8596
    4.0000   39.8338   23.8320
    5.0000   34.9023   24.7102
    6.0000   35.8481   20.2516
    7.0000   36.9290   15.9958
    8.0000   30.9167   14.9825
    9.0000   31.1193   19.3059
   10.0000   28.8225   24.1022
   11.0000   25.5124   18.2926
   12.0000   38.4827   18.7655
   13.0000   38.4151   21.5352
   14.0000   36.7939   24.6426
   15.0000   37.4694   22.5485
   16.0000   36.5236   18.2250
   17.0000   35.7805   22.8187
   18.0000   32.1326   24.6426
   19.0000   33.1460   22.3458
   20.0000   34.2268   19.9814
   21.0000   34.2268   16.9415
   22.0000   34.1593   15.1851
   23.0000   30.9842   17.1442
   24.0000   30.3763   21.2649
   25.0000   25.5799   21.9405
   26.0000   27.0661   20.9272
   27.0000   28.0794   18.7655
   28.0000   27.6066   15.9282
   29.0000   27.9443   14.7122
   30.0000   25.3773   16.4011
   31.0000   24.4315   19.8463
   32.0000   39.4960   17.2793
   33.0000   29.5656   14.4420
   34.0000   29.4981   16.1984
   35.0000   29.4305   19.1032
   36.0000   28.3496   21.7378
   37.0000   26.7959   23.2916

6 # time 

45 # number of data points 

    1.0000   24.9142    9.0747
    2.0000   24.2673    6.4006
    3.0000   23.0596    9.2041
    4.0000   24.6123   11.7919
    5.0000   21.3776   14.5953
    6.0000   20.2130    9.5060
    7.0000   21.0325    4.4598
    8.0000   14.6924    4.2010
    9.0000   14.6061   10.4117
   10.0000   14.3042   17.3125
   11.0000    6.8427   10.7999
   12.0000   21.8520    7.3926
   13.0000   22.3264   10.2392
   14.0000   23.1028   13.6896
   15.0000   22.4127   11.4469
   16.0000   20.3856    7.3064
   17.0000   20.9463   12.2232
   18.0000   18.6604   15.9324
   19.0000   18.4016   12.9133
   20.0000   18.5741   10.1098
   21.0000   18.2291    6.6163
   22.0000   18.7466    3.6834
   23.0000   14.3474    7.7377
   24.0000   14.3042   13.2583
   25.0000    9.5168   17.2694
   26.0000    9.7324   14.5953
   27.0000   10.4225   10.9293
   28.0000    9.9912    6.0556
   29.0000   11.3282    2.6052
   30.0000    4.6431    7.7377
   31.0000    5.4194   14.3366
   32.0000   22.8871    5.6674
   33.0000   13.5279    2.5621
   34.0000   12.2771    6.6163
   35.0000   12.4928   10.7568
   36.0000   11.8889   14.8973
   37.0000   11.9321   17.8301
   38.0000    8.6110    3.5972
   39.0000    7.1446    5.0205
   40.0000    8.6110    7.5651
   41.0000    8.5248   11.0156
   42.0000    8.5679   13.3877
   43.0000    6.9290   16.0618
   44.0000    6.7996   13.3446
   45.0000    7.4034    7.9102

9 # time 

56 # number of data points

    1.0000   41.5978   22.6571
    2.0000   41.2433   19.7500
    3.0000   39.4707   22.4444
    4.0000   40.9597   25.0679
    5.0000   36.4217   27.1242
    6.0000   35.6417   22.0189
    7.0000   37.0599   16.5592
    8.0000   29.1184   15.2120
    9.0000   28.2675   21.9480
   10.0000   27.2039   30.7404
   11.0000   15.1499   21.1681
   12.0000   38.2653   20.4590
   13.0000   38.5489   23.4371
   14.0000   38.6198   26.4860
   15.0000   37.6980   24.2879
   16.0000   36.1381   19.2536
   17.0000   35.9963   24.5716
   18.0000   32.8764   28.5423
   19.0000   32.5219   25.6351
   20.0000   33.0891   22.0189
   21.0000   33.0891   18.4736
   22.0000   33.7273   15.0702
   23.0000   28.0548   19.1118
   24.0000   27.1330   25.4224
   25.0000   20.3261   31.8040
   26.0000   20.8224   27.2660
   27.0000   22.1696   21.7353
   28.0000   22.2405   16.2047
   29.0000   25.5022   12.4466
   30.0000   13.8027   14.7156
   31.0000   12.5264   28.4005
   32.0000   39.3998   18.3318
   33.0000   28.0548   12.9430
   34.0000   25.4313   17.5519
   35.0000   25.2895   21.8062
   36.0000   24.0132   27.5496
   37.0000   24.0132   31.9458
   38.0000   21.9569   11.9503
   39.0000   19.0498   12.6594
   40.0000   19.4752   16.9137
   41.0000   18.9079   21.3808
   42.0000   18.8370   25.4933
   43.0000   16.0717   30.6695
   44.0000   15.5045   25.7770
   45.0000   17.6316   16.6301
   46.0000   25.7149   15.3538
   47.0000   15.8590   12.6594
   48.0000   14.2282   17.6228
   49.0000   13.4482   24.0752
   50.0000   10.0447   23.4371
   51.0000   11.3919   22.2317
   52.0000   11.3919   19.6081
   53.0000   10.7538   16.7010
   54.0000    8.9102   19.3245
   55.0000    9.6902   20.6008
   56.0000    9.2647   22.3735

11 # time

56 # number of data points

    1.0000   48.2612   20.5946
    2.0000   47.6432   16.7100
    3.0000   45.5243   20.3298
    4.0000   47.2900   24.1260
    5.0000   41.4632   27.9223
    6.0000   40.1389   20.3298
    7.0000   41.9046   13.2669
    8.0000   32.6346   11.2363
    9.0000   31.3103   20.6829
   10.0000   30.9572   33.1312
   11.0000   15.0657   20.7712
   12.0000   43.8469   18.0343
   13.0000   44.0234   21.7423
   14.0000   44.1117   26.8629
   15.0000   42.9640   23.0666
   16.0000   40.8452   16.9749
   17.0000   40.7569   24.2143
   18.0000   37.1372   30.3060
   19.0000   36.6074   25.5386
   20.0000   37.0489   20.6829
   21.0000   37.0489   15.8272
   22.0000   38.0200   11.0598
   23.0000   31.3103   16.6218
   24.0000   30.5157   25.1855
   25.0000   22.4817   34.4555
   26.0000   22.9231   27.7458
   27.0000   23.8943   20.9478
   28.0000   24.0709   12.8255
   29.0000   28.1320    8.0580
   30.0000   12.0640   12.1192
   31.0000   12.5937   31.2772
   32.0000   45.1712   15.2092
   33.0000   31.0454    8.7643
   34.0000   28.2203   14.6795
   35.0000   27.6023   20.5946
   36.0000   26.8077   27.7458
   37.0000   27.0726   34.3672
   38.0000   23.2763    7.4400
   39.0000   19.8331    8.4112
   40.0000   20.4511   14.1498
   41.0000   19.4800   20.7712
   42.0000   20.2746   25.7152
   43.0000   17.3611   33.5726
   44.0000   15.7720   26.9512
   45.0000   17.8026   13.8849
   46.0000   28.5734   11.5012
   47.0000   14.8891    8.8526
   48.0000   13.0351   16.0038
   49.0000   13.0351   24.9206
   50.0000    7.9146   24.9206
   51.0000   10.2100   22.4486
   52.0000    9.7686   18.9172
   53.0000    7.5614   15.0326
   54.0000    6.5903   18.6523
   55.0000    8.1794   20.2415
   56.0000    7.5614   22.4486










