#Y134-13  
#Leaf 2

6 # number of measuremnts 

0 # time  

12 # number of data points

    1.0000   15.9257    9.6216
    2.0000   15.5317    8.6365
    3.0000   14.9900    9.6954
    4.0000   15.0392   11.0252
    5.0000   14.0049   11.1730
    6.0000   14.1527    9.7447
    7.0000   14.2512    8.2671
    8.0000   13.1184    8.4149
    9.0000   13.5124    9.6216
   10.0000   13.0692   11.0745
   11.0000   12.4289    9.9171
   12.0000   12.2811    9.0305

2 # time 

25 # number of data points

    1.0000   23.4083   11.7029
    2.0000   22.5758   10.3274
    3.0000   21.8518   11.3771
    4.0000   22.4672   13.5852
    5.0000   20.6935   14.1282
    6.0000   20.1505   11.6667
    7.0000   19.9334    9.5672
    8.0000   17.4719    9.4225
    9.0000   17.6891   11.0152
   10.0000   18.0149   14.2367
   11.0000   14.5399   11.5943
   12.0000   14.6123    9.9292
   13.0000   20.0781   10.6532
   14.0000   20.3677   12.9698
   15.0000   19.2456   14.4177
   16.0000   19.3904   12.4269
   17.0000   19.0284   10.9066
   18.0000   18.6302    9.4948
   19.0000   17.6529   10.0378
   20.0000   18.0149   12.4993
   21.0000   15.7706   13.6938
   22.0000   16.1688   12.3907
   23.0000   16.2050   10.9066
   24.0000   16.1326   10.0016
   25.0000   15.4086    9.8206

4 # time 

32 # number of data points

    1.0000   40.3056   20.8389
    2.0000   39.7541   19.1844
    3.0000   38.3064   20.7700
    4.0000   39.5473   23.1139
    5.0000   37.0655   24.7684
    6.0000   35.6178   21.2525
    7.0000   36.8587   17.5988
    8.0000   32.3087   16.7025
    9.0000   30.7920   20.4942
   10.0000   32.8602   26.0783
   11.0000   24.7254   22.4934
   12.0000   25.5526   16.3578
   13.0000   35.6178   19.3222
   14.0000   36.3761   23.1828
   15.0000   34.9973   25.6647
   16.0000   34.2390   22.7003
   17.0000   33.6875   19.8738
   18.0000   34.2390   16.9783
   19.0000   31.7572   18.4950
   20.0000   31.8261   23.1139
   21.0000   28.4481   26.5609
   22.0000   28.3791   23.1828
   23.0000   28.0344   20.4942
   24.0000   28.6549   17.8745
   25.0000   28.3102   16.0132
   26.0000   26.3110   18.0813
   27.0000   26.3110   20.4253
   28.0000   26.2420   23.0450
   29.0000   25.2079   25.1131
   30.0000   24.5875   20.4253
   31.0000   24.3807   18.7707
   32.0000   23.5534   17.5988

6 # time 

35 # number of data points

    1.0000   24.1719    7.8116
    2.0000   23.6900    6.2780
    3.0000   22.2440    8.1621
    4.0000   23.8214   10.4406
    5.0000   21.2800   12.8068
    6.0000   19.4397    9.0385
    7.0000   20.9294    4.5253
    8.0000   16.0219    3.7365
    9.0000   13.5681    9.0385
   10.0000   17.0735   15.4796
   11.0000    4.8046   13.1135
   12.0000    8.8796    2.2029
   13.0000   19.3520    7.0667
   14.0000   20.2722   11.0979
   15.0000   19.7026   14.1213
   16.0000   17.8184   11.2293
   17.0000   17.1611    7.8116
   18.0000   17.9499    4.2624
   19.0000   15.2332    6.6723
   20.0000   15.1455   12.3686
   21.0000   11.3772   17.6267
   22.0000   10.1942   13.1135
   23.0000   10.0189    9.2137
   24.0000   11.5963    6.3218
   25.0000   12.6041    2.3344
   26.0000    8.0909    5.8836
   27.0000    7.3898    9.3452
   28.0000    7.4775   13.6831
   29.0000    6.2944   17.1447
   30.0000    4.7170    9.5643
   31.0000    4.9361    6.5847
   32.0000    4.6293    3.5175
   33.0000    4.1035   16.1807
   34.0000    1.0363   12.5439
   35.0000    3.0957    9.6519

9 # time 

76 # number of data points 

    1.0000   44.2603   20.3033
    2.0000   44.1122   18.4519
    3.0000   42.4830   20.4514
    4.0000   44.6306   23.0434
    5.0000   42.3349   25.5613
    6.0000   39.8910   20.8217
    7.0000   42.1127   15.7859
    8.0000   36.9288   12.8977
    9.0000   31.3006   20.5995
   10.0000   37.5213   29.2640
   11.0000   16.1932   28.5235
   12.0000   23.5988    8.4544
   13.0000   39.8910   18.3778
   14.0000   41.2981   23.2655
   15.0000   40.6316   27.3386
   16.0000   37.5213   23.2655
   17.0000   37.2991   19.0443
   18.0000   39.5948   14.3788
   19.0000   33.2260   16.9708
   20.0000   33.7444   25.2650
   21.0000   29.5973   33.7814
   22.0000   26.4870   26.8943
   23.0000   25.1539   20.8957
   24.0000   27.0794   16.0081
   25.0000   30.2638   10.1576
   26.0000   21.8214   14.6751
   27.0000   20.3403   21.4141
   28.0000   20.8587   28.8938
   29.0000   21.5252   34.7442
   30.0000   14.8602   21.4141
   31.0000   16.1191   14.8232
   32.0000   16.1932    9.5652
   33.0000   17.9705   34.2998
   34.0000    8.9357   29.1900
   35.0000   11.2315   21.4141
   36.0000   33.5223   10.9723
   37.0000   31.0044   14.2307
   38.0000   29.3751   17.6373
   39.0000   28.4124   22.3028
   40.0000   29.7454   25.7834
   41.0000   31.5968   29.6343
   42.0000   33.6704   32.0782
   43.0000   25.5983   34.5220
   44.0000   24.6356   33.0409
   45.0000   23.9691   29.8565
   46.0000   22.5620   25.4872
   47.0000   22.7101   21.3401
   48.0000   23.3026   17.6373
   49.0000   24.7837   13.5642
   50.0000   26.8572    9.4911
   51.0000   19.1554    8.6765
   52.0000   19.3035   13.4902
   53.0000   18.6370   17.4892
   54.0000   17.6003   21.2660
   55.0000   18.1927   24.9688
   56.0000   18.3408   28.7457
   57.0000   19.2295   31.8560
   58.0000   19.6738   34.4479
   59.0000   13.8234   32.9668
   60.0000   13.0088   30.5230
   61.0000   12.7866   27.7089
   62.0000   12.5645   24.7466
   63.0000   13.0829   21.1179
   64.0000   13.5272   17.4892
   65.0000   13.6012   14.0085
   66.0000   12.7126   10.8242
   67.0000    9.7503   13.3420
   68.0000   10.4909   17.0448
   69.0000   10.4909   25.3391
   70.0000    6.4919   25.2650
   71.0000    8.5654   23.8580
   72.0000    8.1952   21.5622
   73.0000    8.1952   19.4146
   74.0000    7.0103   17.3411
   75.0000    6.0476   19.8590
   76.0000    6.1216   23.4136

11 # time 

76 # number of data points

    1.0000   48.4974   21.4666
    2.0000   48.4974   19.5137
    3.0000   46.8450   21.3915
    4.0000   48.5725   23.8702
    5.0000   46.1690   26.5742
    6.0000   44.2161   21.8422
    7.0000   46.7698   17.1102
    8.0000   41.9627   13.9555
    9.0000   35.7284   21.0160
   10.0000   41.4369   30.1045
   11.0000   19.4292   28.2267
   12.0000   28.6680    7.7963
   13.0000   44.3663   19.4386
   14.0000   45.4178   24.1707
   15.0000   44.5916   28.1516
   16.0000   41.7374   24.3960
   17.0000   41.5120   19.8142
   18.0000   44.4414   15.4577
   19.0000   37.7565   17.6359
   20.0000   37.6813   25.7480
   21.0000   33.1747   34.2356
   22.0000   30.1702   27.2502
   23.0000   29.4191   20.8657
   24.0000   31.8226   15.8333
   25.0000   35.5031   10.1999
   26.0000   25.9639   13.8804
   27.0000   24.1613   21.0911
   28.0000   24.6870   28.9027
   29.0000   24.3115   35.8129
   30.0000   18.0021   20.7155
   31.0000   19.3541   13.3546
   32.0000   20.2555    7.8714
   33.0000   20.3306   34.9116
   34.0000    9.6647   28.7525
   35.0000   13.1950   20.3400
   36.0000   38.6578   11.4768
   37.0000   35.9538   14.5564
   38.0000   33.9258   18.0115
   39.0000   32.4235   22.5933
   40.0000   33.4000   26.0484
   41.0000   35.2778   30.1796
   42.0000   37.1556   32.8085
   43.0000   28.8933   35.4374
   44.0000   28.0671   33.1089
   45.0000   27.5413   30.0294
   46.0000   26.4146   25.5227
   47.0000   26.7151   21.3164
   48.0000   27.7666   17.4106
   49.0000   29.2689   12.9790
   50.0000   31.9729    9.2234
   51.0000   23.6355    7.1954
   52.0000   23.1848   12.2279
   53.0000   22.2835   16.6595
   54.0000   21.2319   20.8657
   55.0000   21.6075   24.5462
   56.0000   21.6075   28.7525
   57.0000   22.2084   31.9823
   58.0000   22.4337   35.2121
   59.0000   15.4483   33.4094
   60.0000   15.2981   30.4800
   61.0000   15.2230   27.3253
   62.0000   15.1479   23.9453
   63.0000   15.7488   20.4902
   64.0000   16.3497   16.1337
   65.0000   16.5750   12.0777
   66.0000   16.0492    8.5474
   67.0000   12.2185   10.8759
   68.0000   12.9696   15.4577
   69.0000   12.2185   24.8467
   70.0000    6.7354   24.3209
   71.0000    9.2892   22.5933
   72.0000    8.4629   20.4151
   73.0000    9.4394   17.9364
   74.0000    8.1625   15.0070
   75.0000    6.7354   18.1617
   76.0000    5.9843   22.2929




 




