#Y134-14 #only one leaf on the plant   
#Leaf 1

6 # number of measuremnts 

0 # time  

11 # number of data points

    1.0000    6.8244    9.4729
    2.0000    8.4828    8.1611
    3.0000    8.0125    9.5719
    4.0000    7.8888   11.1313
    5.0000    9.0026   11.4531
    6.0000    8.9531    9.7947
    7.0000    9.4729    8.2106
    8.0000   10.0917    8.9284
    9.0000    9.4977    9.9680
   10.0000   10.0670   11.0571
   11.0000   10.2650   10.2155

2 # time 

33 # number of data points

    1.0000    5.6063   10.4260
    2.0000    7.5699    7.7484
    3.0000    7.8377   10.4260
    4.0000    7.6592   12.3896
    5.0000   11.0062   12.9698
    6.0000   10.6045   10.4707
    7.0000   10.2029    7.1236
    8.0000   13.1483    7.8377
    9.0000   12.9698   10.7830
   10.0000   14.5763   12.5235
   11.0000   16.0044   10.5153
   12.0000    6.4542    8.4178
   13.0000    6.7220   10.2922
   14.0000    6.2311   11.6310
   15.0000    7.9269   11.4971
   16.0000    7.9716    8.9980
   17.0000    9.0426    7.3022
   18.0000    9.1765    8.4178
   19.0000    9.2657   10.1136
   20.0000    9.2211   11.4078
   21.0000    9.8013   12.5681
   22.0000   10.6938   11.9433
   23.0000   10.1583    9.0426
   24.0000   12.2557    7.1236
   25.0000   11.5417    8.5963
   26.0000   11.6756   10.3814
   27.0000   11.7648   12.1219
   28.0000   12.5681   13.0144
   29.0000   13.7284   12.0772
   30.0000   13.1483    9.2211
   31.0000   15.9151    8.6856
   32.0000   14.6656    8.9980
   33.0000   14.6210   10.6492

4 # time 

45 # number of data points

    1.0000    3.0693   10.9667
    2.0000    5.1740    7.9223
    3.0000    5.8881   10.8539
    4.0000    5.1740   13.5600
    5.0000    8.9324   14.6124
    6.0000    9.5338   10.8163
    7.0000    8.4814    6.7948
    8.0000   13.0667    6.8700
    9.0000   13.0667   11.1922
   10.0000   13.7056   15.7399
   11.0000   18.3285   10.6284
   12.0000    4.0840    8.7116
   13.0000    4.4975   10.7036
   14.0000    3.4075   12.4325
   15.0000    6.0384   12.0190
   16.0000    6.0760    8.9747
   17.0000    6.9404    7.1707
   18.0000    7.5042    8.2982
   19.0000    7.7673   10.2902
   20.0000    7.7673   12.1318
   21.0000    7.1660   14.1989
   22.0000    9.3083   12.7707
   23.0000    8.8573    8.9371
   24.0000   11.2251    6.1559
   25.0000   10.8116    8.0727
   26.0000   11.0747   10.6284
   27.0000   10.9620   13.1090
   28.0000   10.9620   15.4016
   29.0000   13.8560   13.1090
   30.0000   13.2922    8.7868
   31.0000   18.1782    7.0955
   32.0000   16.2238    8.3358
   33.0000   15.8104   10.8915
   34.0000   16.5621    6.3438
   35.0000   15.0587    7.3586
   36.0000   14.7580    9.5009
   37.0000   14.9459   11.9815
   38.0000   15.2090   14.1614
   39.0000   16.0735   15.6271
   40.0000   17.7648   14.9506
   41.0000   16.2238   13.0714
   42.0000   19.3809   12.8835
   43.0000   17.6144   12.2821
   44.0000   17.6520    9.8767
   45.0000   19.7567    9.1250

7 # time 

60 # number of data points 

    1.0000    3.7238   14.1359
    2.0000    5.0190   10.5232
    3.0000    6.3141   13.9996
    4.0000    4.7463   17.6805
    5.0000    8.9725   19.9980
    6.0000   10.8811   14.1359
    7.0000    8.4272    8.3420
    8.0000   15.5162    7.3877
    9.0000   17.0840   14.9539
   10.0000   15.3118   22.5883
   11.0000   28.5356   14.0678
   12.0000    4.1328   11.6138
   13.0000    5.1553   13.7951
   14.0000    3.5193   15.8400
   15.0000    6.1777   15.6355
   16.0000    6.3141   11.6820
   17.0000    6.8594    9.2963
   18.0000    8.2227   10.9322
   19.0000    8.6998   13.5224
   20.0000    8.3590   15.9764
   21.0000    7.2684   18.9756
   22.0000   10.3358   16.9988
   23.0000   10.3358   11.6820
   24.0000   12.0399    6.7060
   25.0000   12.7897    9.8416
   26.0000   13.4713   13.8633
   27.0000   12.7215   17.7486
   28.0000   11.4946   21.3613
   29.0000   17.5612   18.0894
   30.0000   17.0840   10.7959
   31.0000   24.2413    4.5248
   32.0000   22.7417    9.1599
   33.0000   22.2645   14.0678
   34.0000   20.2877    4.2521
   35.0000   19.8788    8.0693
   36.0000   20.0832   11.8183
   37.0000   20.2196   16.2490
   38.0000   20.1514   20.0662
   39.0000   19.4698   23.7471
   40.0000   22.7417   23.8152
   41.0000   22.4690   18.5666
   42.0000   30.5805   20.6115
   43.0000   26.3544   17.2715
   44.0000   26.4907   12.1592
   45.0000   30.6487    8.4101
   46.0000   23.9004    6.2970
   47.0000   22.1963   11.4775
   48.0000   22.3327   16.1808
   49.0000   22.4008   21.1568
   50.0000   25.6727   23.0654
   51.0000   24.7184   20.1344
   52.0000   24.6503   16.1808
   53.0000   24.7184   11.8183
   54.0000   26.1499    8.2738
   55.0000   28.3311    6.2289
   56.0000   28.9446    9.5689
   57.0000   26.2862   14.2722
   58.0000   27.8540   19.2482
   59.0000   29.4899   16.9988
   60.0000   32.4891   11.1367

9 # time 

69 # number of data points

    1.0000    5.5071   17.7380
    2.0000    7.2425   13.6060
    3.0000    8.3995   17.5728
    4.0000    6.4161   21.7875
    5.0000   11.2920   24.6800
    6.0000   13.8539   17.9860
    7.0000   11.1267   10.9614
    8.0000   20.0520    9.3086
    9.0000   21.2916   19.4735
   10.0000   18.5645   28.9773
   11.0000   35.9192   18.7297
   12.0000    5.8376   15.0109
   13.0000    6.9946   17.4901
   14.0000    5.0939   19.8041
   15.0000    7.9037   19.7215
   16.0000    8.6474   15.0109
   17.0000    9.3086   12.1184
   18.0000   11.0441   13.9365
   19.0000   10.8788   17.0769
   20.0000   10.7135   20.0520
   21.0000    9.3912   23.4403
   22.0000   13.1101   21.4569
   23.0000   13.4407   15.0109
   24.0000   15.3414    9.1433
   25.0000   16.3331   12.8622
   26.0000   16.9116   17.8207
   27.0000   16.0852   22.4486
   28.0000   14.1018   26.7460
   29.0000   21.7049   23.6883
   30.0000   21.8701   14.3497
   31.0000   29.9690    4.8459
   32.0000   28.9773   12.2010
   33.0000   27.7377   18.8124
   34.0000   25.4237    5.2591
   35.0000   25.5064   10.8788
   36.0000   25.2585   15.6720
   37.0000   24.9279   21.2090
   38.0000   24.4320   26.4154
   39.0000   23.3577   30.9607
   40.0000   27.6551   31.2913
   41.0000   27.9030   24.1841
   42.0000   36.0019   29.6385
   43.0000   33.0268   23.1098
   44.0000   33.2747   16.0026
   45.0000   38.5638    8.2342
   46.0000   29.6385    7.9863
   47.0000   27.9856   15.6720
   48.0000   27.8203   21.0437
   49.0000   27.4898   28.2336
   50.0000   31.7872   30.9607
   51.0000   30.7955   26.8286
   52.0000   30.8781   21.1264
   53.0000   31.1260   15.0935
   54.0000   32.3656   10.7135
   55.0000   35.2581    6.1682
   56.0000   36.4977   11.9531
   57.0000   33.3573   18.9777
   58.0000   34.8449   25.7543
   59.0000   37.7374   23.0271
   60.0000   42.5306   12.6143
   61.0000   40.8778   10.1350
   62.0000   38.5638   14.9282
   63.0000   37.9026   18.3992
   64.0000   37.7374   21.0437
   65.0000   38.0679   25.6717
   66.0000   39.5555   27.2419
   67.0000   42.4479   22.8618
   68.0000   40.5472   18.9777
   69.0000   42.8612   16.0852

11 # time 

69 # number of data points
 
    1.0000   11.8458   24.2839
    2.0000   13.1329   20.5215
    3.0000   13.9250   24.0859
    4.0000   12.5388   28.2443
    5.0000   16.4002   31.3136
    6.0000   19.1725   24.3829
    7.0000   16.4992   17.3532
    8.0000   25.4101   14.6799
    9.0000   27.3903   25.4720
   10.0000   24.2220   35.6700
   11.0000   44.5190   24.4819
   12.0000   12.3408   21.7096
   13.0000   12.9349   23.8879
   14.0000   11.5487   26.2641
   15.0000   13.8260   26.1651
   16.0000   14.2220   21.7096
   17.0000   14.8161   18.6403
   18.0000   16.3012   20.3235
   19.0000   16.4992   23.3928
   20.0000   16.1032   26.4621
   21.0000   14.8161   29.6304
   22.0000   18.3804   27.8483
   23.0000   18.7765   21.1156
   24.0000   20.4596   14.9770
   25.0000   21.7468   18.8383
   26.0000   22.4398   23.7888
   27.0000   21.5487   28.8383
   28.0000   19.5685   33.0958
   29.0000   28.1824   30.1255
   30.0000   27.3903   19.7294
   31.0000   35.5091    9.4324
   32.0000   34.8161   17.2542
   33.0000   34.7171   24.7789
   34.0000   30.7567   10.2245
   35.0000   31.2517   15.7690
   36.0000   31.2517   21.5116
   37.0000   31.2517   27.3532
   38.0000   31.3507   33.1948
   39.0000   29.2715   38.0463
   40.0000   33.7270   38.9374
   41.0000   34.6181   31.0166
   42.0000   43.3309   37.8483
   43.0000   40.3606   29.8284
   44.0000   40.9547   21.1156
   45.0000   45.9052   11.8086
   46.0000   35.5091   12.7987
   47.0000   34.9151   21.2146
   48.0000   34.9151   27.2542
   49.0000   33.8260   35.4720
   50.0000   38.1824   38.7393
   51.0000   37.4893   33.9869
   52.0000   38.4794   27.4522
   53.0000   38.3804   20.6205
   54.0000   39.1725   15.6700
   55.0000   41.4497   10.3235
   56.0000   43.9250   16.5611
   57.0000   40.8557   24.6799
   58.0000   42.2418   33.0958
   59.0000   45.7072   29.9275
   60.0000   51.2517   16.4621
   61.0000   49.0735   13.5908
   62.0000   47.0933   19.8284
   63.0000   46.6973   24.0859
   64.0000   46.1032   27.4522
   65.0000   46.5983   33.1948
   66.0000   47.6874   35.2740
   67.0000   52.0438   29.9275
   68.0000   49.9646   24.6799
   69.0000   52.6379   20.4225





 


