#Y134-16    
#Leaf 1

6 # number of measuremnts 

0 # time  

11 # number of data points

    1.0000    7.0212   10.3374
    2.0000    9.0257    8.5803
    3.0000    8.2091   10.2631
    4.0000    9.0752   11.8222
    5.0000   10.1394   11.8222
    6.0000    9.5207    9.8177
    7.0000   10.1889    8.3823
    8.0000   11.4510    8.7288
    9.0000   10.5353    9.7434
   10.0000   11.4262   10.7086
   11.0000   11.5995    9.5702

2 # time 

29 # number of data points 

    1.0000    3.5679   11.4852
    2.0000    6.6334    8.7970
    3.0000    5.5015   11.5323
    4.0000    5.7374   14.3620
    5.0000    7.9539   15.1637
    6.0000    7.4823   11.4380
    7.0000    8.8500    8.8441
    8.0000   12.8587    9.0799
    9.0000   10.6893   11.8153
   10.0000   12.3871   14.5978
   11.0000   13.7548   11.7681
   12.0000    4.4168    9.4100
   13.0000    4.5583   11.2965
   14.0000    3.9452   13.2773
   15.0000    5.8788   12.5699
   16.0000    6.1618   10.6362
   17.0000    8.0011   10.1646
   18.0000    7.7653   13.1830
   19.0000   10.1234   15.1637
   20.0000    9.5103   13.5603
   21.0000    9.4159   11.6266
   22.0000   10.1705    9.9288
   23.0000   11.0194    8.3253
   24.0000   11.5382   10.4948
   25.0000   11.1609   13.4188
   26.0000   13.4247   13.6546
   27.0000   12.4343   12.6642
   28.0000   12.6701   10.9664
   29.0000   13.8491   10.2590

4 # time 

33 # number of data points 

    1.0000    4.7949   16.4853
    2.0000    8.6797   13.9674
    3.0000    7.0251   16.7011
    4.0000    6.4496   20.2262
    5.0000    8.8956   21.6650
    6.0000    9.7588   17.0608
    7.0000   11.6293   14.1112
    8.0000   18.1759   14.3271
    9.0000   14.5069   18.0680
   10.0000   16.0896   23.2477
   11.0000   20.9816   19.0032
   12.0000    6.2337   14.4709
   13.0000    5.8740   16.5572
   14.0000    4.9388   18.5716
   15.0000    7.4567   18.2119
   16.0000    8.0323   15.6220
   17.0000   10.6221   15.7659
   18.0000    9.3272   19.4348
   19.0000   11.9890   22.8880
   20.0000   11.9171   20.5859
   21.0000   12.4926   17.4205
   22.0000   13.6436   15.3342
   23.0000   14.8666   14.1112
   24.0000   16.3054   15.9817
   25.0000   15.0824   20.7298
   26.0000   18.4636   23.0319
   27.0000   17.3845   20.2262
   28.0000   18.1759   16.9169
   29.0000   20.6938   15.3342
   30.0000   21.7010   17.0608
   31.0000   20.1183   17.6363
   32.0000   19.5428   19.9384
   33.0000   20.6219   21.6650

7 # time 

66 # number of data points 

    1.0000    4.9518   15.6007
    2.0000    7.2815   11.2562
    3.0000    6.9667   15.4748
    4.0000    6.0222   19.1267
    5.0000    8.2260   20.8268
    6.0000    9.7371   14.7822
    7.0000   10.1149    9.8080
    8.0000   19.3707    7.7301
    9.0000   17.1040   15.2859
   10.0000   18.4263   23.0935
   11.0000   33.9785   15.1600
   12.0000    5.5185   13.0821
   13.0000    6.0222   15.0340
   14.0000    4.8259   17.6156
   15.0000    6.9037   16.7970
   16.0000    7.5334   13.6488
   17.0000   10.2408   12.7673
   18.0000    9.2964   17.5526
   19.0000   12.1298   22.2750
   20.0000   12.8854   18.6860
   21.0000   13.6409   14.6562
   22.0000   14.3965   11.2562
   23.0000   13.8928    8.6746
   24.0000   19.4967   11.8858
   25.0000   17.9855   19.4416
   26.0000   23.5264   24.1639
   27.0000   23.2745   18.4971
   28.0000   24.6598   12.0117
   29.0000   26.4228    7.2894
   30.0000   31.1451    8.7376
   31.0000   28.9414   12.7043
   32.0000   27.8080   18.4971
   33.0000   29.2562   23.0935
   34.0000   15.9077    8.3598
   35.0000   16.7892   11.8858
   36.0000   15.5928   19.5675
   37.0000   15.1521   23.0935
   38.0000   18.4892   21.4564
   39.0000   17.5447   17.2378
   40.0000   18.2374   13.5858
   41.0000   19.9374    9.8709
   42.0000   23.8412    6.9746
   43.0000   24.1560    8.4857
   44.0000   22.8967   10.8784
   45.0000   21.6375   13.4599
   46.0000   21.1967   17.4267
   47.0000   21.1967   20.9527
   48.0000   21.0708   23.6602
   49.0000   23.5894   21.5194
   50.0000   23.7153   15.3489
   51.0000   26.2968    9.0524
   52.0000   29.1302    7.5412
   53.0000   28.1228    9.8080
   54.0000   26.7376   12.9562
   55.0000   25.8561   17.4267
   56.0000   25.9820   21.3935
   57.0000   26.4228   24.1009
   58.0000   28.6895   20.8897
   59.0000   28.5636   15.3489
   60.0000   30.4525   10.5006
   61.0000   33.6007   11.1302
   62.0000   32.5933   12.1377
   63.0000   31.7748   15.4748
   64.0000   31.6488   18.5601
   65.0000   31.4599   21.2046
   66.0000   34.6711   17.3008

9 # time 

68 # number of data points 

    1.0000    7.1491   18.3471
    2.0000    9.2180   14.1403
    3.0000    8.7353   18.3471
    4.0000    7.6318   22.1401
    5.0000    9.5628   24.3470
    6.0000   11.5628   18.2781
    7.0000   12.1145   12.5541
    8.0000   21.8384    8.9680
    9.0000   19.3557   19.3126
   10.0000   19.7005   29.1744
   11.0000   39.7690   19.7953
   12.0000    7.6318   15.7954
   13.0000    7.9767   18.2092
   14.0000    6.8732   20.4160
   15.0000    8.5973   20.0022
   16.0000    9.4939   16.7609
   17.0000   12.1145   16.1403
   18.0000   10.9421   21.2436
   19.0000   13.5627   26.9676
   20.0000   14.5972   23.1746
   21.0000   15.4937   18.2092
   22.0000   16.5282   14.4851
   23.0000   16.3213   10.8300
   24.0000   22.1143   15.0368
   25.0000   20.0453   24.0021
   26.0000   25.3556   30.6227
   27.0000   26.4590   23.4504
   28.0000   28.1831   15.3817
   29.0000   29.9072    8.2784
   30.0000   35.9070    9.7956
   31.0000   33.4243   15.9334
   32.0000   31.8382   23.5884
   33.0000   32.8037   30.2089
   34.0000   18.1143   10.0714
   35.0000   19.2867   15.1058
   36.0000   17.3557   24.0021
   37.0000   16.6661   28.4158
   38.0000   20.3902   26.4159
   39.0000   19.6316   21.4505
   40.0000   20.6660   17.1058
   41.0000   22.7349   12.5541
   42.0000   26.8728    7.9336
   43.0000   27.4934   10.6231
   44.0000   26.1831   13.7265
   45.0000   24.5970   17.0368
   46.0000   23.8384   21.7953
   47.0000   23.8384   25.7262
   48.0000   22.6660   30.0710
   49.0000   26.1831   26.6917
   50.0000   26.8038   19.5195
   51.0000   29.8382   11.2438
   52.0000   33.2174    8.6232
   53.0000   32.3209   12.2783
   54.0000   29.9761   17.7954
   55.0000   29.3555   21.8643
   56.0000   29.2865   26.9676
   57.0000   29.0106   31.0365
   58.0000   32.2519   26.6228
   59.0000   33.2864   20.1402
   60.0000   34.8036   13.0369
   61.0000   39.6311   12.4162
   62.0000   37.9070   14.8989
   63.0000   37.2863   19.6574
   64.0000   36.5277   24.5539
   65.0000   36.5277   28.4158
   66.0000   41.4241   23.3125
   67.0000   39.9069   26.5538
   68.0000   41.4931   16.2092

11 # time 

68 # number of data points

    1.0000   11.0159   20.2571
    2.0000   13.1673   16.2477
    3.0000   12.9717   20.6483
    4.0000   11.7982   24.4621
    5.0000   13.8518   27.3959
    6.0000   16.3944   21.0395
    7.0000   17.0789   14.6830
    8.0000   28.8138   10.5758
    9.0000   25.1956   22.6041
   10.0000   24.9022   33.8501
   11.0000   49.2521   24.5599
   12.0000   11.5048   17.5190
   13.0000   11.8960   20.2571
   14.0000   10.6247   22.5063
   15.0000   12.7761   22.6041
   16.0000   13.5585   19.0836
   17.0000   17.0789   18.6925
   18.0000   15.4165   24.3643
   19.0000   18.4480   30.8185
   20.0000   19.6215   26.7113
   21.0000   20.7950   21.6262
   22.0000   22.1640   16.9322
   23.0000   21.6751   12.6294
   24.0000   28.7160   18.0079
   25.0000   25.6845   28.0804
   26.0000   30.6719   35.9037
   27.0000   32.9210   28.1782
   28.0000   35.3658   19.0836
   29.0000   38.4951   10.3803
   30.0000   45.6339   12.7272
   31.0000   41.6244   19.8660
   32.0000   39.2774   28.7649
   33.0000   39.1797   36.7838
   34.0000   24.0221   11.7493
   35.0000   25.2934   18.1057
   36.0000   23.0442   28.0804
   37.0000   21.9685   32.6766
   38.0000   25.9779   30.6230
   39.0000   25.4889   25.2445
   40.0000   27.0536   20.2571
   41.0000   29.3028   15.3676
   42.0000   34.9747   10.0869
   43.0000   35.1702   13.5096
   44.0000   33.2144   16.9322
   45.0000   31.4542   20.4527
   46.0000   30.2807   25.7334
   47.0000   29.8895   30.4274
   48.0000   27.8359   34.9258
   49.0000   32.2365   31.7964
   50.0000   33.7034   23.2886
   51.0000   37.5172   14.4875
   52.0000   42.6023   11.2604
   53.0000   39.9620   15.6610
   54.0000   37.0283   22.1152
   55.0000   36.3437   26.5157
   56.0000   35.9526   32.0898
   57.0000   35.0724   36.8816
   58.0000   39.1797   32.1876
   59.0000   41.0377   24.7555
   60.0000   43.7758   15.8565
   61.0000   49.9367   16.1499
   62.0000   47.3941   18.9858
   63.0000   46.1228   24.7555
   64.0000   44.6559   30.1340
   65.0000   43.6780   35.2191
   66.0000   50.7190   29.5473
   67.0000   48.1764   33.1655
   68.0000   51.8925   20.7461 

