#Y134-3 # only one leaf on the plant
#Leaf 1

7 # number of measuremnts 

0 # time  

8 # number of data points

   1.0000    9.3671    8.5499
   2.0000   10.0641    7.6365
   3.0000   10.2804    8.3335
   4.0000   10.2324    9.2950
   5.0000   10.8333    8.9104
   6.0000   10.7131    8.1412
   7.0000   10.6891    7.5644
   8.0000   11.3380    8.0451

2 # time 

12 # number of data points

    1.0000    7.6885    9.0767
    2.0000    8.7949    8.0112
    3.0000    9.0818    9.0767
    4.0000    8.7540   10.5928
    5.0000   10.4341   10.6748
    6.0000   10.5160    8.9947
    7.0000   10.1472    7.6424
    8.0000   12.6059    8.5030
    9.0000   11.9502    7.8473
   10.0000   11.5814    8.7488
   11.0000   12.1142   10.1831
   12.0000   13.0567    9.4864

4 # time 

13 # number of data points

    1.0000    8.2157   11.9026
    2.0000    9.1843   10.2075
    3.0000   10.1530   11.9994
    4.0000    9.5234   13.7914
    5.0000   11.8481   14.5663
    6.0000   12.2355   12.1447
    7.0000   10.8310    9.4325
    8.0000   16.4007   12.0479
    9.0000   14.2697    9.1419
   10.0000   14.0760   12.0479
   11.0000   14.8993   14.9538
   12.0000   17.7084   14.0336
   13.0000   17.0303   10.4980

6 # time 

39 # number of data points 

    1.0000    9.6404   18.8593
    2.0000   10.0430   16.4435
    3.0000   11.9220   18.6580
    4.0000   10.3115   21.2752
    5.0000   12.7945   23.0872
    6.0000   14.8748   18.8593
    7.0000   11.5865   15.1684
    8.0000   23.4646   18.4567
    9.0000   16.5525   13.2223
   10.0000   18.4986   18.6580
   11.0000   17.0894   24.8991
   12.0000   23.1962   25.8386
   13.0000   23.3304   14.0276
   14.0000   13.9353   13.9605
   15.0000   13.5326   16.5106
   16.0000   14.5393   20.7384
   17.0000   15.7472   16.2421
   18.0000   20.1092   13.0209
   19.0000   18.2973   15.8395
   20.0000   16.4854   18.7922
   21.0000   16.4183   21.5437
   22.0000   15.2103   24.0267
   23.0000   18.4315   21.6108
   24.0000   21.3172   15.1013
   25.0000   21.3843   17.0474
   26.0000   21.5856   19.5975
   27.0000   21.2501   22.6174
   28.0000   20.1092   25.5701
   29.0000   24.0686   22.2147
   30.0000   23.8673   20.6713
   31.0000   23.6660   17.0474
   32.0000   23.7331   15.4368
   33.0000   25.9476   16.7790
   34.0000   25.9476   19.5304
   35.0000   26.3503   22.1476
   36.0000   26.8200   24.8991
   37.0000   29.3701   22.2819
   38.0000   28.1622   20.6713
   39.0000   27.5582   18.2554

8 # time 

50 # number of data points

    1.0000    4.5503   11.3409
    2.0000    5.0380    9.0850
    3.0000    6.7452   11.4629
    4.0000    4.4893   13.5969
    5.0000    6.2575   15.7309
    6.0000    9.4889   11.7677
    7.0000    6.4404    7.7436
    8.0000   19.6711   12.4384
    9.0000   10.8303    5.7316
   10.0000   13.4521   12.0116
   11.0000   10.5254   18.5965
   12.0000   17.1103   20.9134
   13.0000   17.8420    6.8291
   14.0000    8.3915    6.4023
   15.0000    8.5134    9.2069
   16.0000    8.7573   13.9017
   17.0000   10.6474    8.8411
   18.0000   14.7324    5.4877
   19.0000   13.4521    8.6582
   20.0000   11.3790   11.7068
   21.0000   10.5864   14.5724
   22.0000    8.3305   17.4380
   23.0000   12.9033   15.2431
   24.0000   16.6835    8.1704
   25.0000   16.9274   10.4873
   26.0000   16.8055   13.6578
   27.0000   15.5251   17.3771
   28.0000   13.4521   19.9988
   29.0000   19.4272   17.8039
   30.0000   19.7930   15.5479
   31.0000   19.5492   10.6093
