#Y134-4 #only one leaf on plant 
#Leaf 1

7 # number of measuremnts 

0 # time  

8 # number of data points

    1.0000    8.4115    9.5192
    2.0000    9.1008    8.7561
    3.0000    9.5192    9.7900
    4.0000    9.2977   10.5285
    5.0000   10.2577   10.4054
    6.0000   10.2823    9.6423
    7.0000   10.0116    8.8300
    8.0000   11.1931    9.6669

2 # time 

11 # number of data points

    1.0000    7.5466    9.6158
    2.0000    8.5936    8.2945
    3.0000    9.1421    9.9897
    4.0000    8.8429   11.5104
    5.0000   10.8124   11.4357
    6.0000   11.0866   10.0645
    7.0000    9.9149    8.1948
    8.0000   12.5076   10.1144
    9.0000   12.3830    8.5936
   10.0000   12.6323   10.9121
   11.0000   13.7043   10.2141 

4 # time 

28 # number of data points 

    1.0000    6.9356   12.3299
    2.0000    7.9343   10.8734
    3.0000    9.2244   12.7460
    4.0000    7.6430   15.1597
    5.0000   10.8474   15.9920
    6.0000   13.0946   12.8709
    7.0000   10.2648   10.2908
    8.0000   16.5902   12.5380
    9.0000   15.5498    9.4169
   10.0000   14.6759   16.6578
   11.0000   19.2535   12.1634
   12.0000   11.0554   11.8721
   13.0000   10.8890   13.4951
   14.0000    9.3076   15.8255
   15.0000   11.3884    9.8746
   16.0000   12.5536    9.8330
   17.0000   13.2610   11.0814
   18.0000   13.1362   14.3274
   19.0000   12.5952   16.2833
   20.0000   14.3430   13.7864
   21.0000   14.9256   11.6224
   22.0000   18.0883    9.7914
   23.0000   16.8815   11.2063
   24.0000   15.8411   14.4522
   25.0000   17.3393   15.8255
   26.0000   19.0455   14.0777
   27.0000   17.5889   12.8293
   28.0000   19.4200   10.5821

6 # time 

48 # number of data points

    1.0000    9.4610   17.1408
    2.0000   10.1428   15.4931
    3.0000   12.0177   17.8226
    4.0000    9.9155   20.2089
    5.0000   13.8927   21.8566
    6.0000   17.5290   17.8794
    7.0000   12.9836   14.1863
    8.0000   23.3244   17.4817
    9.0000   19.2903   11.4022
   10.0000   19.1767   23.7884
   11.0000   26.4493   16.7999
   12.0000   14.3472   16.0612
   13.0000   14.1768   18.6748
   14.0000   12.3018   21.7430
   15.0000   13.7223   13.2772
   16.0000   15.7109   12.7090
   17.0000   17.2449   15.0953
   18.0000   17.1313   19.9248
   19.0000   16.3927   22.7657
   20.0000   19.2903   19.3566
   21.0000   19.9153   15.4362
   22.0000   23.7789   10.9477
   23.0000   23.0403   14.0726
   24.0000   21.6199   20.1521
   25.0000   24.4039   23.6179
   26.0000   27.8698   21.3452
   27.0000   25.0857   18.2203
   28.0000   27.0175   11.8568
   29.0000   22.4721   10.9477
   30.0000   22.3017   13.1067
   31.0000   22.0176   15.2658
   32.0000   21.9039   22.0839
   33.0000   22.3017   24.1293
   34.0000   23.3244   20.7771
   35.0000   23.2676   19.1294
   36.0000   23.7789   15.0385
   37.0000   24.2903   13.1067
   38.0000   25.9380   13.3340
   39.0000   25.9380   15.2090
   40.0000   25.3130   20.9475
   41.0000   26.3925   22.9361
   42.0000   27.5289   19.2998
   43.0000   27.6993   15.4931
   44.0000   28.0402   13.5613
   45.0000   29.0629   12.2545
   46.0000   29.9720   13.5045
   47.0000   28.8925   16.5726
   48.0000   29.3470   19.1294
 
8 # time 

52 # number of data points 

    1.0000    4.4012   12.3170
    2.0000    5.2860   10.5474
    3.0000    6.8660   13.2650
    4.0000    4.7172   15.4138
    5.0000    8.3828   17.8786
    6.0000   12.7436   14.0866
    7.0000    7.9404    9.5362
    8.0000   20.6437   14.5290
