#Y134-5 
#Leaf 1

6 # number of measuremnts 

0 # time  

7 # number of data points 

    1.0000    7.7442    7.2418
    2.0000    8.4380    6.5720
    3.0000    8.6054    7.4093
    4.0000    8.4858    8.2466
    5.0000    9.3231    8.1748
    6.0000    9.3231    6.6198
    7.0000    9.7537    7.4810

2 # time 

13 # number of data points 

    1.0000    3.7862    9.9323
    2.0000    4.9742    8.4836
    3.0000    5.6695    9.9323
    4.0000    4.7134   11.4969
    5.0000    6.7995   11.4680
    6.0000    7.5239    8.3098
    7.0000    9.6390    9.7005
    8.0000    7.5529    9.7875
    9.0000    9.1464    8.5706
   10.0000    8.5669    9.6426
   11.0000    9.0016   11.0334
   12.0000    9.8708    9.0341
   13.0000    9.9577   10.2511

4 # time 

23 # number of data points

    1.0000    3.7872   14.8619
    2.0000    4.6386   12.8008
    3.0000    6.5653   14.8619
    4.0000    4.9522   17.0575
    5.0000    8.2231   17.4607
    6.0000    8.5367   11.7255
    7.0000   15.8850   14.5931
    8.0000   10.6427   14.8619
    9.0000   12.5693   11.4566
   10.0000   13.5103   14.6379
   11.0000   13.4207   17.5503
   12.0000   16.8708   13.3385
   13.0000   16.5571   16.0717
   14.0000    8.4919   14.7723
   15.0000   10.3738   11.3670
   16.0000    9.8809   13.0249
   17.0000    9.7465   16.3854
   18.0000    9.8361   17.7744
   19.0000   11.9420   16.6094
   20.0000   12.2557   14.6379
   21.0000   11.5836   13.0249
   22.0000   14.8993   13.1593
   23.0000   15.0337   16.3854
 
6 # time 

28 # number of data points

    1.0000    6.4807   21.8241
    2.0000    7.1229   19.8059
    3.0000    9.4164   21.8241
    4.0000    7.2147   24.2094
    5.0000   10.7925   25.4937
    6.0000   11.6181   18.1546
    7.0000   23.0855   22.3746
    8.0000   14.6455   22.2828
    9.0000   17.0308   17.5124
   10.0000   19.4160   22.3746
   11.0000   17.3060   27.6037
   12.0000   25.3790   19.0720
   13.0000   23.8195   27.1450
   14.0000   11.6181   21.8241
   15.0000   14.2786   17.4206
   16.0000   14.1868   19.9893
   17.0000   13.0860   24.3011
   18.0000   12.9025   26.4111
   19.0000   15.7464   24.7598
   20.0000   17.0308   21.8241
   21.0000   16.7555   19.7141
   22.0000   21.3425   19.5307
   23.0000   21.0673   25.5854
   24.0000   19.2325   19.3472
   25.0000   18.5903   25.1267
   26.0000   21.4342   27.9707
   27.0000   23.3608   24.9433
   28.0000   24.3699   20.0811
 
8 # time 

38 # number of data points 

    1.0000    2.6530   13.8644
    2.0000    3.0898   11.5833
    3.0000    5.5165   13.8159
    4.0000    3.3810   16.0970
    5.0000    7.2637   17.6016
    6.0000    7.5064    9.1566
    7.0000   21.9697   13.1364
    8.0000   11.4862   13.7674
    9.0000   12.8452    7.1667
   10.0000   16.9706   13.3791
   11.0000   13.5732   20.5137
   12.0000   23.3287    6.0989
   13.0000   21.8726   21.4844
   14.0000    7.9918   13.5732
   15.0000    9.9331    8.0403
   16.0000   10.6126   11.0980
   17.0000    9.7390   16.0000
   18.0000    9.3993   18.8635
   19.0000   12.9908   16.8736
   20.0000   13.9615   13.1849
   21.0000   13.2335   10.7097
   22.0000   18.7179    9.9331
   23.0000   18.8635   17.5045
   24.0000   16.0485    9.9331
   25.0000   16.2912   16.9221
   26.0000   18.6694   21.7270
   27.0000   22.1153   17.0677
   28.0000   23.1345    9.2051
   29.0000   11.0494   19.7371
   30.0000   17.9413    5.8562
   31.0000   27.7453    8.4771
   32.0000   26.2893   10.3699
   33.0000   25.7554   13.7188
   34.0000   25.5613   16.2912
   35.0000   26.1922   19.6400
   36.0000   29.2499   15.5631
   37.0000   27.9394   13.6703
   38.0000   29.2499   11.4862

13 # time 

38 # number of data points

    1.0000    9.0718   21.9068
    2.0000    9.3968   19.3073
    3.0000   12.2400   21.6631
    4.0000    9.5592   24.4250
    5.0000   13.7022   26.5371
    6.0000   14.5145   15.7330
    7.0000   35.4728   20.9320
    8.0000   19.5510   21.4194
    9.0000   20.6883   11.6713
   10.0000   27.4307   21.1757
   11.0000   21.4194   30.9237
   12.0000   35.3916    8.2595
   13.0000   34.3355   34.4168
   14.0000   15.1644   21.6631
   15.0000   17.0327   13.7834
   16.0000   18.3325   18.0888
   17.0000   17.3577   24.5062
   18.0000   16.1392   28.3242
   19.0000   21.7443   25.4811
   20.0000   22.9628   20.8507
   21.0000   21.9068   17.3577
   22.0000   30.0301   15.9767
   23.0000   30.0301   27.7556
   24.0000   25.9685   15.7330
   25.0000   26.2122   26.6996
   26.0000   29.0553   33.8481
   27.0000   35.5540   27.5931
   28.0000   36.3664   14.2708
   29.0000   18.0075   29.3803
   30.0000   27.3494    8.9094
   31.0000   44.3273   10.6965
   32.0000   42.7026   14.9207
   33.0000   42.8651   21.4194
   34.0000   42.1340   26.9433
   35.0000   43.1900   32.8733
   36.0000   50.6635   25.8060
   37.0000   47.9016   21.0132
   38.0000   50.1761   16.0579
