#Y134-7 #only one leaf on the plant 
#Leaf 1

7 # number of measuremnts 

0 # time  

11 # number of data points 

    1.0000    5.6177    7.5366
    2.0000    6.8006    6.5903
    3.0000    7.1160    7.6417
    4.0000    6.0383    8.8246
    5.0000    7.6680    9.1926
    6.0000    8.2726    8.0097
    7.0000    8.4040    6.8006
    8.0000    9.3240    6.8794
    9.0000    9.0612    7.6154
   10.0000    9.8498    8.3777
   11.0000    9.8498    7.5891

2 # time 

17 # number of data points 

    1.0000    4.5986    9.0753
    2.0000    5.9541    7.0271
    3.0000    6.5866    9.0150
    4.0000    5.7733   11.1235
    5.0000    8.3336   11.6656
    6.0000    8.8456    9.1054
    7.0000    8.3035    6.4548
    8.0000   10.2010    6.6958
    9.0000   10.7432    9.0753
   10.0000   13.0022   10.0994
   11.0000   12.5203    9.1054
   12.0000    6.9179    7.7500
   13.0000    6.9480   10.2500
   14.0000    8.6950   10.2801
   15.0000   10.5324    7.8705
   16.0000   10.7432   10.3102
   17.0000   12.7914    7.6897

4 # time 

40 # number of data points 

    1.0000    4.2995   10.7895
    2.0000    5.2988    8.6546
    3.0000    6.6616   10.9258
    4.0000    4.4358   13.0608
    5.0000    7.8880   15.2866
    6.0000   10.4318   11.6072
    7.0000    8.7965    7.5644
    8.0000   12.7485    7.6098
    9.0000   14.7926   11.8343
   10.0000   19.3804   16.0134
   11.0000   17.0184   11.9251
   12.0000    7.2975    9.0634
   13.0000    6.6616   12.5157
   14.0000    9.3871   13.6513
   15.0000   14.2475    9.5631
   16.0000   13.7024   14.3326
   17.0000   18.5174    7.4735
   18.0000    9.2508   10.1536
   19.0000   10.7044    7.4281
   20.0000   11.4766    9.7448
   21.0000   12.2034   11.8343
   22.0000   11.5220   14.0601
   23.0000   10.2047   15.8771
   24.0000   12.4305   16.3313
   25.0000   15.8373   16.6947
   26.0000   15.6102   15.7862
   27.0000   16.0645   14.6052
   28.0000   16.8821    9.5176
   29.0000   16.9729    7.9732
   30.0000   17.1092    7.1556
   31.0000   19.6076    8.0186
   32.0000   19.2442    8.6092
   33.0000   19.0170   10.1082
   34.0000   18.8354   12.0160
   35.0000   18.2903   14.3781
   36.0000   17.7906   15.8317
   37.0000   17.6543   16.6039
   38.0000   20.4252   14.6052
   39.0000   20.6523   11.8343
   40.0000   21.4245    9.6539

6 # time 

50 # number of data points 

    1.0000    7.0358   17.3995
    2.0000    7.6351   14.8023
    3.0000    9.6329   17.2663
    4.0000    7.8349   19.8635
    5.0000   11.6308   21.2619
    6.0000   13.9615   16.9999
    7.0000   11.0980   12.6713
    8.0000   15.4932   11.8056
    9.0000   19.2225   16.4672
   10.0000   25.2826   24.1255
   11.0000   22.3524   16.1342
   12.0000    9.4331   15.0021
   13.0000    9.8993   18.8645
   14.0000   13.0958   19.5305
   15.0000   17.9572   13.6036
   16.0000   17.8906   19.9966
   17.0000   22.4856    9.2750
   18.0000   12.0969   15.2685
   19.0000   13.2290   11.8722
   20.0000   14.6275   14.1364
   21.0000   16.1592   16.7335
   22.0000   15.6264   19.5305
   23.0000   14.2279   22.1277
   24.0000   16.4255   22.9268
   25.0000   19.8218   24.4585
   26.0000   19.8884   22.8602
   27.0000   21.0205   20.1964
   28.0000   22.0194   12.7379
   29.0000   21.0205   10.4737
   30.0000   20.5544    9.8077
   31.0000   24.2836    9.4748
   32.0000   24.2836   10.5403
   33.0000   24.6832   13.2706
   34.0000   25.1494   16.4672
   35.0000   24.1505   20.1298
   36.0000   22.6188   23.1266
   37.0000   21.8197   24.5916
   38.0000   27.0140   20.7292
   39.0000   28.4791   16.2008
   40.0000   28.1461   12.2051
   41.0000    9.0336   13.4704
   42.0000    8.9670   20.4628
   43.0000   26.8808   10.0075
   44.0000   30.8765   12.1385
   45.0000   30.3437   13.4704
   46.0000   30.4769   15.7346
   47.0000   29.8776   18.5982
   48.0000   29.6112   21.5949
   49.0000   31.5424   18.7980
   50.0000   31.6090   15.6680

9 # time 

63 # number of data points 

    1.0000    4.7273   19.5840
    2.0000    5.0819   16.9601
    3.0000    7.0675   19.5840
    4.0000    4.5855   21.8533
    5.0000    6.9257   24.3353
    6.0000   10.8260   19.5131
    7.0000    7.4930   14.1945
    8.0000   11.8897   12.3507
    9.0000   17.9175   19.4422
   10.0000   25.4345   31.7104
   11.0000   22.5270   19.0167
   12.0000    7.1384   17.0311
   13.0000    6.8548   21.1441
   14.0000    9.0531   22.4915
   15.0000   16.3574   15.4000
   16.0000   16.3574   23.4843
   17.0000   20.1159    8.0958
   18.0000    9.4077   17.5275
   19.0000    9.1950   13.1307
   20.0000   11.9606   16.0383
   21.0000   14.3718   19.5131
   22.0000   12.3861   22.9879
   23.0000    9.6914   26.0372
   24.0000   12.3152   27.4555
   25.0000   17.4920   30.2212
   26.0000   18.0593   28.3065
   27.0000   20.4704   24.8317
   28.0000   21.8887   14.5490
   29.0000   19.9031   11.0742
   30.0000   17.7048    8.8049
   31.0000   23.2361    7.8121
   32.0000   24.7253   10.2941
   33.0000   26.1436   14.3363
   34.0000   26.8528   19.5840
   35.0000   24.7962   24.9735
   36.0000   21.9596   28.8738
   37.0000   20.3286   30.8595
   38.0000   30.0439   27.3137
   39.0000   33.6606   19.7258
   40.0000   32.5260   11.7834
   41.0000    6.0038   15.5418
   42.0000    5.1528   22.9879
   43.0000   28.3420    7.9540
   44.0000   36.0717   10.1523
   45.0000   36.6390   14.0526
   46.0000   38.1991   18.4494
   47.0000   36.3554   24.7608
   48.0000   33.7315   30.3631
   49.0000   39.5465   27.1719
   50.0000   41.2485   18.0239
   51.0000   32.3841   14.9745
   52.0000   32.1005   23.5552
   53.0000   30.3985   31.2849
   54.0000   35.1498   27.9519
   55.0000   37.2063   21.4987
   56.0000   37.3482   16.5347
   57.0000   36.7099   11.7834
   58.0000   40.5393   15.0454
   59.0000   40.4684   22.1369
   60.0000   39.6174   24.1935
   61.0000   42.0285   23.2716
   62.0000   42.5959   20.0804
   63.0000   42.9504   16.7474

11 # time 

73 # number of data points 

    1.0000    8.6299   20.6202
    2.0000    8.6299   18.1002
    3.0000   10.2557   20.5389
    4.0000    7.8983   22.5712
    5.0000    8.9551   25.4163
    6.0000   13.4260   20.7828
    7.0000   10.2557   15.1738
    8.0000   14.3202   12.8164
    9.0000   20.4170   20.7828
   10.0000   27.6518   35.3337
   11.0000   25.7008   20.5389
   12.0000   10.2557   18.2628
   13.0000    9.7680   22.1647
   14.0000   11.8002   23.8718
   15.0000   19.0351   16.7996
   16.0000   18.0596   25.4163
   17.0000   23.4247    8.4267
   18.0000   11.8815   18.8318
   19.0000   11.8002   14.2796
   20.0000   14.4015   16.8809
   21.0000   16.1899   20.7015
   22.0000   14.7267   24.3596
   23.0000   11.3938   27.5299
   24.0000   14.0764   29.1557
   25.0000   19.4415   32.7324
   26.0000   19.8480   30.7815
   27.0000   22.7744   26.9608
   28.0000   25.1318   15.7428
   29.0000   23.0996   12.1660
   30.0000   20.6609    9.2396
   31.0000   27.3266    7.9390
   32.0000   28.5460   11.1906
   33.0000   29.7653   15.5802
   34.0000   30.6595   21.2705
   35.0000   27.7331   27.8550
   36.0000   24.0750   31.8382
   37.0000   22.5305   33.8705
   38.0000   33.3421   30.7002
   39.0000   38.2195   22.1647
   40.0000   36.5124   13.0602
   41.0000    9.1177   16.5557
   42.0000    8.1422   23.8718
   43.0000   32.2853    8.5080
   44.0000   41.6337   10.9467
   45.0000   41.7150   15.9054
   46.0000   43.5847   21.1080
   47.0000   40.9834   28.6679
   48.0000   37.7318   35.0086
   49.0000   45.0479   31.4318
   50.0000   46.5111   21.1080
   51.0000   37.2440   16.5557
   52.0000   36.0247   26.8795
   53.0000   33.6673   35.8215
   54.0000   39.6014   32.0008
   55.0000   42.2840   24.6847
   56.0000   42.5279   18.7505
   57.0000   41.7150   12.9789
   58.0000   46.5111   17.1247
   59.0000   46.1046   25.4976
   60.0000   45.2105   27.8550
   61.0000   48.5433   26.1479
   62.0000   48.6246   22.8963
   63.0000   48.2995   19.8073
   64.0000   17.2467   11.0280
   65.0000   16.5964   30.8628
   66.0000   28.7086   24.5221
   67.0000   30.9847   18.5880
   68.0000   33.6673   14.4422
   69.0000   34.2363   19.2383
   70.0000   33.6673   24.2783
   71.0000   31.6350   27.1234
   72.0000   29.1963   31.5131
   73.0000   36.5937    8.9144

13 # time 

73 # number of data points 

    1.0000    8.9189   20.8713
    2.0000    8.9189   18.1094
    3.0000   10.6332   20.6808
    4.0000    8.2522   23.0618
    5.0000    9.2999   26.3951
    6.0000   14.1570   21.6332
    7.0000   10.6332   15.3475
    8.0000   15.0141   12.9665
    9.0000   21.5856   22.1094
   10.0000   29.0141   37.6332
   11.0000   27.4903   22.1094
   12.0000   10.6332   18.2999
   13.0000   10.2522   22.8713
   14.0000   11.9665   24.4903
   15.0000   20.3475   17.3475
   16.0000   18.8237   26.7760
   17.0000   25.1094    7.9189
   18.0000   12.2522   19.5379
   19.0000   12.1570   14.2046
   20.0000   14.9189   17.6332
   21.0000   17.1094   21.8237
   22.0000   15.2046   25.7284
   23.0000   12.0618   28.7760
   24.0000   14.5379   30.2046
   25.0000   20.3475   34.6808
   26.0000   20.7284   32.6808
   27.0000   23.6808   28.7760
   28.0000   26.8237   16.9665
   29.0000   24.6332   12.4903
   30.0000   22.0618    9.1570
   31.0000   29.1094    7.9189
   32.0000   30.7284   11.5379
   33.0000   32.3475   16.5856
   34.0000   33.2046   22.9665
   35.0000   29.2046   30.1094
   36.0000   25.3951   34.2046
   37.0000   23.5856   36.1094
   38.0000   35.2046   33.2522
   39.0000   41.0141   23.8237
   40.0000   39.2046   13.7284
   41.0000    9.4903   16.3951
   42.0000    8.4427   24.3951
   43.0000   34.6332    8.6808
   44.0000   44.8237   11.2522
   45.0000   45.3951   16.7760
   46.0000   47.0141   22.6808
   47.0000   43.6808   31.1570
   48.0000   39.3951   37.9189
   49.0000   47.3951   34.4903
   50.0000   50.8237   22.7760
   51.0000   39.9665   17.6332
   52.0000   38.0618   28.5856
   53.0000   34.8237   38.4903
   54.0000   41.4903   34.9665
   55.0000   45.2999   26.9665
   56.0000   46.0618   19.9189
   57.0000   45.0141   13.5379
   58.0000   50.8237   18.1094
   59.0000   49.4903   27.8237
   60.0000   48.1570   30.7760
   61.0000   52.3475   28.9665
   62.0000   52.8237   25.1570
   63.0000   53.1094   21.1570
   64.0000   17.9665   10.8713
   65.0000   17.4903   32.5856
   66.0000   30.7284   26.3951
   67.0000   33.2999   20.0141
   68.0000   36.5379   15.4427
   69.0000   37.2046   20.5856
   70.0000   35.8713   25.9189
   71.0000   33.4903   29.1570
   72.0000   30.7284   33.9189
   73.0000   39.3951    9.3475
