#Y134- 2 #only one leaf on the plant
#Leaf 1

8 # number of measuremnts 

0 # time  

7 # number of data points
 
    1.0000    9.2888    8.7863
    2.0000    9.7661    8.0325
    3.0000   10.1430    8.7611
    4.0000   10.0676    9.5400
    5.0000   10.8967    9.3641
    6.0000   11.0977    8.3089
    7.0000   11.2987    8.8868


2 # time 

7 # number of data points

    1.0000    8.9032   10.0694
    2.0000    9.6430    8.8775
    3.0000   10.3416   10.1105
    4.0000   10.2183   11.2201
    5.0000   12.1088   11.3434
    6.0000   12.7664    9.1241
    7.0000   13.3007   10.3159

4 # time 

20 # number of data points 

    1.0000    3.7457    9.8216
    2.0000    5.4546    7.8469
    3.0000    6.1761   10.0494
    4.0000    4.8850   11.9481
    5.0000    8.4925   13.0114
    6.0000   10.9608    7.2014
    7.0000   12.8215   10.6950
    8.0000    8.3026    7.0115
    9.0000    8.2267    8.1127
   10.0000    7.9988   10.0114
   11.0000    7.2014   11.9481
   12.0000    6.7077   12.8595
   13.0000    9.3279   10.9988
   14.0000    9.8975    9.1001
   15.0000   13.2012    8.6444
   16.0000   11.5684    9.5557
   17.0000   10.6950   11.2646
   18.0000   11.2266   12.8974
   19.0000   13.9987   12.3278
   20.0000   14.2645   10.0494  

6 # time 

38 # number of data points 

    1.0000    2.0784   11.3879
    2.0000    2.8902    8.5251
    3.0000    4.9412   10.9606
    4.0000    3.2748   13.4816
    5.0000    7.2913   15.1480
    6.0000    9.7268    4.8931
    7.0000   15.2388    9.8497
    8.0000    5.8385    6.2177
    9.0000    6.6076    8.0123
   10.0000    7.4195   10.5333
   11.0000    6.4367   13.1398
   12.0000    5.4539   14.5926
   13.0000    9.6841   11.5588
   14.0000   10.0687    8.4396
   15.0000   14.5552    4.8077
   16.0000   13.2306    8.3114
   17.0000   12.2478   11.4734
   18.0000   12.2905   14.5926
   19.0000   18.6571   14.7207
   20.0000   20.2381    6.3886
   21.0000   17.5035    4.7649
   22.0000   16.4780    6.0468
   23.0000   15.7516    7.9696
   24.0000   15.2388   12.1570
   25.0000   15.1961   15.1908
   26.0000   17.1616   15.2762
   27.0000   16.8625   13.9944
   28.0000   17.1616   12.1143
   29.0000   17.4180    9.8924
   30.0000   17.8453    7.7560
   31.0000   18.4862    5.7904
   32.0000   19.7681    8.1405
   33.0000   19.4690   10.2770
   34.0000   19.1272   12.3707
   35.0000   21.5627   12.4561
   36.0000   21.0927   10.5761
   37.0000   21.1354    9.0378
   38.0000   21.8191    8.0123

8 # time 

42 # number of points 

    1.0000    7.9383   17.2499
    2.0000    9.0288   14.5655
    3.0000   10.8744   17.4177
    4.0000    8.6094   19.5988
    5.0000   12.1327   22.2832
    6.0000   17.1660   11.1261
    7.0000   23.8771   18.5083
    8.0000   12.3005   12.3844
    9.0000   13.2233   14.6494
   10.0000   13.6427   17.3338
   11.0000   11.5455   19.7666
   12.0000    9.9516   21.2766
   13.0000   15.9077   18.8438
   14.0000   17.1660   15.3205
   15.0000   22.8705   11.0422
   16.0000   21.1088   15.7399
   17.0000   18.6760   19.2632
   18.0000   17.7533   23.7093
   19.0000   26.2260   27.2327
   20.0000   31.7626   12.5522
   21.0000   26.8132   10.2872
   22.0000   25.7227   12.6360
   23.0000   24.8838   15.5721
   24.0000   22.7027   21.3605
   25.0000   20.5216   26.0582
   26.0000   23.3738   27.1488
   27.0000   24.2966   24.5482
   28.0000   25.9743   21.8638
   29.0000   27.0649   18.8438
   30.0000   28.2393   15.4883
   31.0000   28.9943   12.0488
   32.0000   31.0915   16.7466
   33.0000   30.3365   20.2699
   34.0000   29.0782   23.3738
   35.0000   32.2660   25.7227
   36.0000   32.4338   21.7799
   37.0000   34.0276   17.9210
   38.0000   34.7826   16.0755
   39.0000   19.5988   10.7905
   40.0000   15.0688   23.7932
   41.0000   28.8265   26.9810
   42.0000   33.4404   14.2299

11 # time 

56 # number of points 

    1.0000    4.5239   20.0010
    2.0000    5.1743   17.1556
    3.0000    7.1254   20.0823
    4.0000    5.2556   22.9278
    5.0000    8.9140   26.2610
    6.0000   13.4667   11.9525
    7.0000   22.5721   20.6514
    8.0000    8.2636   14.3915
    9.0000    9.1579   16.6678
   10.0000   10.1335   19.7571
   11.0000    7.8571   23.0091
   12.0000    6.7189   24.7163
   13.0000   12.8163   21.6270
   14.0000   13.6293   17.0743
   15.0000   20.4583   10.0014
   16.0000   18.9137   17.1556
   17.0000   16.3121   22.1148
   18.0000   15.1739   27.8869
   19.0000   26.3118   32.3583
   20.0000   32.4092   10.5704
   21.0000   25.3362    9.2697
   22.0000   24.6045   12.6029
   23.0000   23.7916   16.7491
   24.0000   21.3526   24.6350
   25.0000   18.8324   30.4885
   26.0000   22.3282   31.8706
   27.0000   23.7916   28.6999
   28.0000   25.8240   25.2041
   29.0000   27.3687   20.8953
   30.0000   28.6694   15.8548
   31.0000   28.9946   11.6273
   32.0000   33.3034   17.0743
   33.0000   32.2466   22.6026
   34.0000   30.0515   27.6431
   35.0000   35.9863   31.3015
   36.0000   35.9863   24.7976
   37.0000   38.7504   17.8873
   38.0000   41.0268   15.2857
   39.0000   16.4747   10.9769
   40.0000   12.0033   28.1308
